Freq,FreqOfFreq
1,17782
2,4302
3,1925
4,1130
5,689
6,518
7,363
8,283
9,229
10,205
11,152
12,146
13,132
14,119
15,84
16,83
17,82
18,73
19,61
20,44
21,53
22,59
23,49
24,29
25,31
26,33
27,29
28,29
29,33
30,24
31,28
32,37
33,36
34,17
35,22
36,22
37,15
38,16
39,21
40,18
41,13
42,13
43,20
44,9
45,11
46,15
47,17
48,7
49,12
50,12
51,10
52,11
53,9
54,6
55,5
56,8
57,10
58,15
59,5
60,6
61,4
62,10
63,5
64,7
65,6
66,9
67,5
68,5
69,5
70,5
71,6
72,4
73,5
74,7
75,2
76,3
77,6
78,3
79,6
80,4
81,3
82,4
83,8
84,4
85,4
86,1
87,3
88,3
89,1
90,3
91,4
92,3
93,7
94,1
95,5
96,2
97,3
98,2
99,3
100,3
101,3
102,2
103,2
104,2
105,1
106,1
107,2
108,1
109,2
111,4
112,2
113,2
114,4
115,2
116,2
117,2
119,3
120,1
121,2
123,2
125,1
126,3
127,2
128,2
129,2
130,1
131,2
133,1
134,2
135,1
136,2
137,2
138,1
139,2
141,1
143,1
144,1
147,1
150,1
151,2
155,3
156,2
157,1
158,1
162,3
164,2
166,1
168,1
169,2
170,2
172,2
173,1
174,1
176,1
178,1
179,4
180,2
182,1
187,1
188,1
192,1
195,1
196,2
198,1
199,1
200,1
201,1
203,1
205,1
207,2
208,1
211,1
212,1
215,1
221,1
222,1
223,1
228,1
232,1
238,1
241,1
243,1
244,1
248,1
249,1
252,1
253,1
255,1
259,1
260,2
266,1
279,1
282,1
292,1
296,1
301,1
302,1
323,1
324,1
333,1
338,1
341,1
344,1
346,1
355,1
359,1
378,1
405,1
407,1
451,1
459,1
466,1
467,1
510,1
602,1
639,1
706,1
747,1
793,1
1031,1
1041,1
1520,1
2015,1
